"artist","song","explicit","year","popularity","speechiness","tempo","loudness","acousticness","valence"
"Eve","Let Me Blow Ya Mind",TRUE,2001,73,0.107,90.032,-4.243,0.242,0.897
"Jennifer Lopez","Ain't It Funny",FALSE,2001,0,0.0481,99.825,-4.525,0.104,0.621
"Brandy","Another Day in Paradise - R&B-Version",FALSE,2002,50,0.0327,102.043,-5.176,0.00666,0.556
"Nickelback","How You Remind Me",FALSE,2001,78,0.033,172.094,-5.042,0.00135,0.543
"Daft Punk","One More Time",FALSE,2001,76,0.133,122.746,-8.618,0.0194,0.476
"Outkast","Ms. Jackson",TRUE,2000,82,0.269,94.948,-5.946,0.143,0.613
"Fragma","Everytime You Need Me - Radio Version",FALSE,2001,50,0.0318,137.029,-5.459,0.15,0.79
"Mariah Carey","Loverboy",FALSE,2001,42,0.124,103.141,-4.125,0.183,0.821
"Dido","Thank You",FALSE,1999,73,0.0427,79.984,-9.942,0.3,0.762
"Joe","Stutter (feat. Mystikal) - Double Take Remix",FALSE,2000,57,0.117,89.989,-6.516,0.0513,0.677
"P.O.D.","Youth of the Nation",FALSE,2001,69,0.0621,97.867,-7.533,0.00834,0.517
"Jennifer Lopez","Play",TRUE,2001,57,0.162,104.719,-4.229,0.0303,0.895
"Missy Elliott","Get Ur Freak On",TRUE,2001,68,0.247,177.87,-9.369,0.533,0.74
"Ricky Martin","Nobody Wants to Be Lonely (with Christina Aguilera)",FALSE,2008,52,0.0612,100.851,-5.02,0.00579,0.59
"Christina Milian","AM To PM",FALSE,2001,60,0.12,105.005,-3.036,0.153,0.822
"Roger Sanchez","Another Chance",FALSE,2000,50,0.0312,127.993,-10.029,0.000211,0.45
"Gorillaz","Clint Eastwood",TRUE,2001,74,0.171,167.953,-8.627,0.0253,0.525
"2Pac","Until The End Of Time",TRUE,2001,57,0.203,96.976,-6.665,0.0267,0.375
"Tamia","Stranger in My House",FALSE,2000,48,0.0297,119.94,-4.905,0.103,0.206
"Mary J. Blige","No More Drama",FALSE,2001,61,0.124,97.914,-6.818,0.534,0.64
"Jennifer Lopez","Love Don't Cost a Thing",FALSE,2001,67,0.0707,97.577,-5.115,0.00305,0.685
"Jamiroquai","Little L",FALSE,2001,65,0.129,121.906,-5.373,0.168,0.904
"Case","Missing You",FALSE,2001,55,0.0553,86.31,-6.417,0.285,0.716
"112","Peaches & Cream",FALSE,2001,63,0.334,203.862,-6.255,0.00277,0.768
"Five","Let's Dance - Radio Edit",FALSE,2001,47,0.0867,118.007,-7.853,0.00876,0.547
"Rui Da Silva","Touch Me (Radio Edit) [feat. Cassandra]",FALSE,2001,54,0.0638,129.078,-8.399,0.124,0.695
"Alien Ant Farm","Smooth Criminal",FALSE,2001,75,0.0582,126.928,-4.261,0.00316,0.87
"Erick Sermon","Music (feat. Marvin Gaye)",TRUE,2001,57,0.203,100.01,-9.053,0.187,0.884
"D12","Purple Pills",TRUE,2001,68,0.16,125.25,-5.941,0.0199,0.754
"Usher","Pop Ya Collar - Radio Edit",FALSE,2016,26,0.0946,106.957,-3.944,0.0901,0.866
"Madonna","Don't Tell Me",FALSE,2000,53,0.0594,99.965,-7.338,0.0502,0.679
"Blue","If You Come Back",FALSE,2001,58,0.0319,78.375,-4.487,0.0822,0.701
"Atomic Kitten","Eternal Flame - Single Version",FALSE,2001,58,0.0318,83.293,-6.867,0.0658,0.408
"Jagged Edge","Where the Party At (feat. Nelly)",FALSE,2001,67,0.226,129.491,-6.239,0.31,0.86
"Afroman","Because I Got High",TRUE,2001,68,0.488,166.01,-8.56,0.169,0.849
"S Club 7","Don't Stop Movin'",FALSE,2001,63,0.0329,117.033,-6.133,0.0285,0.91
"Nelly Furtado","Turn Off The Light",FALSE,2000,1,0.0927,180.184,-6.26,0.0839,0.65
"The Supermen Lovers","Starlight - Radio Edit",FALSE,2001,61,0.0373,127.487,-5.079,0.000424,0.786
"Mis-Teeq","All I Want - Sunship Radio Edit",FALSE,2004,46,0.0835,134.079,-3.07,0.37,0.96
"Jagged Edge","Promise",FALSE,2000,56,0.0872,128.002,-5.431,0.136,0.646
"S Club 7","Have You Ever",FALSE,2001,60,0.0325,139.909,-5.734,0.538,0.51
"Enya","Only Time",FALSE,2000,69,0.0301,82.803,-13.744,0.841,0.213
"Faith Hill","There You'll Be",FALSE,2001,60,0.0306,128.98,-7.77,0.513,0.17
"Ronan Keating","Lovin' Each Day",FALSE,2000,58,0.0633,106.676,-6.261,0.0178,0.829
"Destiny's Child","Bootylicious",FALSE,2001,64,0.275,103.376,-4.386,0.00281,0.637
"Steps","It's the Way You Make Me Feel",FALSE,2000,53,0.0239,105.006,-5.081,0.108,0.347
"Sunshine Anderson","Heard It All Before",FALSE,2001,56,0.216,96.951,-4.209,0.0614,0.678
"Lenny Kravitz","Again",FALSE,2000,68,0.0271,79.166,-5.218,0.0148,0.789
"Daniel Bedingfield","Gotta Get Thru This - D'N'D Radio Edit",FALSE,2002,46,0.0598,133.592,-5.044,0.0826,0.941
"DB Boulevard","Point Of View - Radio Edit",FALSE,2018,0,0.0287,129.006,-6.854,0.00284,0.275
"Janet Jackson","All For You",FALSE,2001,65,0.0736,113.525,-3.011,0.0174,0.73
"Atomic Kitten","Whole Again",FALSE,2001,66,0.0413,94.019,-4.653,0.0844,0.567
"Ja Rule","Livin' It Up",FALSE,2001,64,0.311,106.095,-4.086,0.0554,0.636
"DJ Pied Piper & The Masters Of Ceremonies","Do You Really Like It? - Radio Edit",FALSE,2001,54,0.0493,131.044,-5.424,0.124,0.764
"Jennifer Lopez","I'm Real (feat. Ja Rule) - Murder Remix",TRUE,2001,66,0.151,83.46,-7.93,0.273,0.554
"Musiq Soulchild","Love",FALSE,2000,0,0.0499,99.738,-9.919,0.342,0.339
"So Solid Crew","21 Seconds",TRUE,2001,51,0.241,137.03,-11.072,0.0191,0.818
"Robbie Williams","Eternity",FALSE,2001,48,0.0265,77.967,-8.106,0.504,0.199
"Basement Jaxx","Romeo",FALSE,2001,0,0.0491,126.853,-4.171,0.00769,0.844
"Ludacris","Southern Hospitality (Featuring Pharrell)",TRUE,2000,54,0.247,95.158,-4.719,0.035,0.613
"Nelly","Ride Wit Me",TRUE,2000,75,0.0478,101.875,-6.49,0.0616,0.722
"Trick Daddy","I'm a Thug",TRUE,2001,59,0.122,139.976,-5.961,0.0275,0.586
"Travis","Sing",FALSE,2001,68,0.0497,163.142,-5.047,0.000233,0.259
"JAY-Z","Izzo (H.O.V.A.)",TRUE,2001,63,0.342,84.411,-4.051,0.0178,0.697
"Gabrielle","Out Of Reach",FALSE,2001,69,0.0452,182.862,-6.567,0.503,0.496
"OPM","Heaven Is a Halfpipe (If I Die)",TRUE,2000,56,0.0349,95.9,-6.886,0.0755,0.77
"K-Ci & JoJo","Crazy",FALSE,2019,30,0.0258,116.097,-4.507,0.084,0.484
"Staind","It's Been Awhile",TRUE,2001,64,0.0338,116.529,-4.054,0.00189,0.0824
"3LW","No More (Baby I'ma Do Right)",FALSE,2000,56,0.0631,88.933,-7.08,0.102,0.761
"Ginuwine","Differences",FALSE,2001,65,0.0558,62.876,-4.578,0.318,0.423
"*NSYNC","Gone",FALSE,2001,45,0.0614,113.922,-8.564,0.421,0.5
"Lifehouse","Hanging By A Moment",FALSE,2000,61,0.0349,124.599,-4.903,0.000966,0.502
"Nelly","Dilemma",TRUE,2002,77,0.14,168.189,-8.074,0.227,0.607
"Eminem","Without Me",TRUE,2002,87,0.0738,112.238,-2.827,0.00286,0.662
"Avril Lavigne","Complicated",FALSE,2002,78,0.0459,77.987,-5.898,0.0572,0.427
"Vanessa Carlton","A Thousand Miles",FALSE,2002,75,0.0379,94.931,-3.862,0.323,0.268
"The Calling","Wherever You Will Go",FALSE,2001,72,0.0267,112.027,-5.113,0.0367,0.371
"Shakira","Underneath Your Clothes",FALSE,2001,64,0.0415,165.508,-5.328,0.691,0.362
"No Doubt","Underneath It All",FALSE,2001,27,0.0684,138.202,-4.822,0.232,0.839
"Truth Hurts","Addictive",TRUE,2002,58,0.147,99.271,-6.591,0.0737,0.367
"Busta Rhymes","I Know What You Want (feat. Flipmode Squad)",TRUE,2002,68,0.306,85.996,-4.315,0.0142,0.518
"Eminem","'Till I Collapse",TRUE,2002,85,0.186,171.447,-3.237,0.0622,0.1
"Diddy","I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",FALSE,2004,69,0.483,199.764,-7.392,0.421,0.779
"Christina Milian","When You Look At Me - Radio Edit",FALSE,2001,60,0.127,108.955,-3.399,0.0934,0.825
"Madonna","Die Another Day",FALSE,2003,53,0.0901,123.993,-5.166,0.062,0.491
"Jennifer Lopez","I'm Gonna Be Alright (feat. Nas)",FALSE,2002,53,0.265,93.401,-4.382,0.106,0.774
"Angie Martinez","If I Could Go! (feat. Lil' Mo & Sacario)",FALSE,2019,40,0.355,195.685,-7.486,0.171,0.7
"Las Ketchup","The Ketchup Song (Aserejé) - Spanglish Version",FALSE,2002,66,0.0948,184.819,-6.777,0.0193,0.868
"Aaliyah","Rock The Boat",FALSE,2019,0,0.0336,92.988,-5.209,0.0688,0.418
"Holly Valance","Kiss Kiss",FALSE,2002,54,0.125,97.036,-4.944,0.00369,0.554
"Sugababes","Round Round",FALSE,2002,59,0.0338,126.607,-3.802,0.00287,0.749
"Marilyn Manson","Tainted Love",FALSE,2003,60,0.0728,142.017,-7.779,0.00107,0.537
"Brandy","What About Us?",FALSE,2002,43,0.223,93.118,-2.942,0.263,0.748
"Chad Kroeger","Hero (feat. Josey Scott)",FALSE,2003,66,0.0364,147.387,-4.54,0.00216,0.304
"Britney Spears","Overprotected - Radio Edit",FALSE,2001,61,0.0727,95.992,-1.73,0.0381,0.845
"Scooter","The Logical Song",FALSE,2013,46,0.0382,144.043,-6.277,0.00112,0.493
"Missy Elliott","4 My People (feat. Eve)",TRUE,2001,49,0.156,121.392,-7.503,0.14,0.905
"Aaliyah","More Than A Woman",FALSE,2002,42,0.0787,86.994,-5.803,0.0556,0.74
"Brandy","Full Moon",FALSE,2002,52,0.139,105.922,-4.823,0.372,0.609
"Blue","One Love",FALSE,2002,60,0.0358,95.012,-4.039,0.0243,0.854
"Busta Rhymes","Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix",TRUE,2001,55,0.323,89.767,-4.699,0.0844,0.56
"Céline Dion","A New Day Has Come - Radio Remix",FALSE,2001,59,0.035,91.969,-5.103,0.0826,0.195
"Scooter","Nessaja",FALSE,2013,47,0.0364,143.048,-6.642,0.000748,0.118
