artist,song,explicit,year,popularity,speechiness,tempo
Madonna,Die Another Day,FALSE,2003,53,0.0901,123.993
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),FALSE,2002,53,0.265,93.401
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),FALSE,2019,40,0.355,195.685
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,FALSE,2002,66,0.0948,184.819
Aaliyah,Rock The Boat,FALSE,2019,0,0.0336,92.988
Holly Valance,Kiss Kiss,FALSE,2002,54,0.125,97.036
Sugababes,Round Round,FALSE,2002,59,0.0338,126.607
Marilyn Manson,Tainted Love,FALSE,2003,60,0.0728,142.017
Brandy,What About Us?,FALSE,2002,43,0.223,93.118
Chad Kroeger,Hero (feat. Josey Scott),FALSE,2003,66,0.0364,147.387
Britney Spears,Overprotected - Radio Edit,FALSE,2001,61,0.0727,95.992
Scooter,The Logical Song,FALSE,2013,46,0.0382,144.043
Missy Elliott,4 My People (feat. Eve),TRUE,2001,49,0.156,121.392
Aaliyah,More Than A Woman,FALSE,2002,42,0.0787,86.994
Brandy,Full Moon,FALSE,2002,52,0.139,105.922
Blue,One Love,FALSE,2002,60,0.0358,95.012
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,TRUE,2001,55,0.323,89.767
Céline Dion,A New Day Has Come - Radio Remix,FALSE,2001,59,0.035,91.969
Scooter,Nessaja,FALSE,2013,47,0.0364,143.048
Eve,Gangsta Lovin',TRUE,2002,58,0.0608,94.332
Disturbing Tha Peace,Move Bitch,TRUE,2002,59,0.133,177.894
Khia,"My Neck, My Back (Lick It)",TRUE,2015,59,0.13,102.072
Tweet,Oops (Oh My) [feat. Missy Elliott],TRUE,2002,64,0.29,159.963
Nelly,Hot In Herre,TRUE,2002,75,0.12,107.075
Gareth Gates,Anyone of Us (Stupid Mistake),FALSE,2003,53,0.0261,106.986
Christina Aguilera,Dirrty (feat. Redman),FALSE,2002,68,0.322,99.931
B2K,Uh Huh,FALSE,2002,49,0.0688,99.699
Sugababes,Freak Like Me,FALSE,2002,45,0.0925,91.868
Dirty Vegas,Days Go By,FALSE,2002,48,0.0688,126.99
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),TRUE,2001,73,0.0598,93.955
Liberty X,Just A Little,FALSE,2019,43,0.0574,103.887
No Doubt,Hella Good,FALSE,2001,26,0.035,115.142
LL Cool J,Luv U Better,FALSE,2002,2,0.239,95.022
Red Hot Chili Peppers,Can't Stop,FALSE,2002,80,0.0456,91.455
Musiq Soulchild,Halfcrazy,FALSE,2002,58,0.18,101.955
Sean Paul,Gimme the Light,TRUE,2002,59,0.0525,107.288
Faith Evans,I Love You,FALSE,2001,53,0.0926,168.004
Charli Baltimore,Down 4 U,TRUE,2002,47,0.32,83.133
Kylie Minogue,Love at First Sight,FALSE,2001,55,0.0428,124.994
N.O.R.E.,Nothin',TRUE,2002,58,0.151,97.035
Gareth Gates,Unchained Melody,FALSE,2003,35,0.0277,106.52
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],FALSE,2005,63,0.208,89.279
Big Brovaz,Nu Flow,FALSE,2001,45,0.106,148.062
No Doubt,Hey Baby,FALSE,2001,24,0.125,93.63
Ashanti,Baby,TRUE,2002,55,0.223,157.596
Sophie Ellis-Bextor,Murder On The Dancefloor,FALSE,2002,62,0.0309,117.31
Justin Timberlake,Like I Love You,FALSE,2002,62,0.0646,114.964
Mary J. Blige,Rainy Dayz,FALSE,2001,32,0.229,68.942
A1,Caught in the Middle,FALSE,2001,53,0.034,96.072
Eminem,Cleanin' Out My Closet,TRUE,2002,71,0.174,148.015
Ashanti,Happy,TRUE,2002,61,0.0289,89.488
Delta Goodrem,Born to Try,FALSE,2003,54,0.0284,133.838
P!nk,Get the Party Started,FALSE,2001,68,0.046,128.93
Alicia Keys,A Woman's Worth,FALSE,2001,52,0.158,75.09
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,FALSE,2002,56,0.0586,133.592
Coldplay,Clocks,FALSE,2002,79,0.0279,130.97
Missy Elliott,Work It,TRUE,2002,70,0.283,101.868
Ronan Keating,If Tomorrow Never Comes,FALSE,2002,60,0.028,79.01
Big Tymers,Still Fly,TRUE,2002,64,0.162,177.928
Creed,My Sacrifice,FALSE,2001,69,0.0504,146.349
Ja Rule,Always On Time,TRUE,2001,73,0.199,96.673
Ashanti,Foolish,TRUE,2002,70,0.0532,90.119
Avril Lavigne,Sk8er Boi,FALSE,2002,75,0.0482,149.937
DJ Sammy,Heaven,FALSE,2002,63,0.0548,137.965
Britney Spears,"I'm Not a Girl, Not Yet a Woman",FALSE,2001,58,0.0245,78.996
Cam’ron,Oh Boy,TRUE,2002,67,0.145,83.014
Red Hot Chili Peppers,By the Way,FALSE,2002,73,0.107,122.444
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,FALSE,2002,60,0.0502,114.999
Atomic Kitten,The Tide Is High - Radio Mix,FALSE,2002,65,0.0322,103.997
*NSYNC,Girlfriend,FALSE,2001,50,0.0884,93.967
Robbie Williams,Somethin' Stupid,FALSE,2001,64,0.0261,106.191
Alanis Morissette,Hands Clean,FALSE,2002,57,0.0299,99.952
Usher,U Don't Have to Call,TRUE,2001,59,0.0459,100.005
Creed,One Last Breath - Radio Version,FALSE,2015,47,0.0365,130.581
The Goo Goo Dolls,Here Is Gone,FALSE,2002,56,0.0322,102.192
Puddle Of Mudd,She Hates Me,TRUE,2001,70,0.0323,109.781
Ludacris,Rollout (My Business),TRUE,2001,60,0.235,131.059
Blazin' Squad,Crossroads - Radio Edit,FALSE,2012,40,0.042,144.188
Default,Wasting My Time,FALSE,2001,40,0.0312,147.973
Michelle Branch,All You Wanted,FALSE,2001,60,0.0286,96.103
Daniel Bedingfield,If You're Not The One,FALSE,2002,58,0.0292,119.998
Enrique Iglesias,Escape,FALSE,2001,56,0.0297,125.972
Puddle Of Mudd,Blurry,FALSE,2001,64,0.0562,157.469
Coldplay,In My Place,FALSE,2002,72,0.0278,144.636
Outkast,The Whole World (feat. Killer Mike),TRUE,2001,51,0.401,184.682
P!nk,Don't Let Me Get Me - Radio Edit,FALSE,2001,60,0.0756,98.525
50 Cent,In Da Club,TRUE,2003,81,0.366,90.051
Sean Paul,Get Busy,FALSE,2002,74,0.036,100.202
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",TRUE,2004,77,0.264,171.355
Beyoncé,Crazy In Love (feat. Jay-Z),FALSE,2003,76,0.226,99.165
Counting Crows,Big Yellow Taxi,FALSE,2003,50,0.0494,88.029
Black Eyed Peas,Where Is The Love?,FALSE,2003,68,0.184,94.059
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,FALSE,2002,70,0.188,100
Black Eyed Peas,Shut Up,FALSE,2003,56,0.243,112.968
t.A.T.u.,All The Things She Said,TRUE,2020,39,0.0474,179.92
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,FALSE,2003,66,0.104,130.017
Panjabi MC,Mundian to Bach Ke,FALSE,2003,61,0.0371,98.077
Mis-Teeq,Scandalous - U.S. Radio Edit,FALSE,2004,59,0.0349,99.971
JAY-Z,03' Bonnie & Clyde,TRUE,2002,71,0.314,89.64
50 Cent,P.I.M.P.,TRUE,2003,76,0.346,84.722
Jamelia,Superstar,FALSE,2003,69,0.0356,110.01
Linkin Park,Faint,FALSE,2003,72,0.131,135.095
