artist,song,explicit,year,popularity,speechiness,tempo,loudness,acousticness,valence
One Direction,What Makes You Beautiful,FALSE,2012,82,0.0737,124.99,-2.457,0.135,0.751
Justin Bieber,Baby,FALSE,2010,81,0.137,65.043,-2.458,0.00023,0.237
Pitbull,Feel This Moment (feat. Christina Aguilera),FALSE,2012,77,0.158,135.956,-2.494,0.009,0.888
Ed Sheeran,Don't,FALSE,2014,72,0.0659,95.049,-2.505,0.0932,0.568
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",FALSE,2016,0,0.0585,117.973,-2.512,0.0837,0.789
Taylor Swift,You Belong With Me,FALSE,2008,55,0.0384,129.964,-2.513,0.0192,0.888
Bruno Mars,Just the Way You Are,FALSE,2010,77,0.0422,109.021,-2.528,0.0631,0.762
Jason Derulo,Ridin' Solo,FALSE,2010,66,0.146,89.338,-2.552,0.0868,0.52
Jay Sean,Eyes On You - Radio Mix,FALSE,2004,42,0.0847,96.525,-2.557,0.0509,0.731
Arctic Monkeys,Why'd You Only Call Me When You're High?,FALSE,2013,84,0.0368,92.004,-2.569,0.0909,0.392
La Roux,In For The Kill,FALSE,2009,59,0.0455,150.01,-2.571,0.0864,0.391
Joel Corry,Sorry,FALSE,2019,63,0.0562,125.002,-2.61,0.0856,0.458
Chingy,Holidae In,TRUE,2003,61,0.181,153.067,-2.623,0.046,0.846
Kesha,We R Who We R,FALSE,2010,71,0.0407,119.95,-2.628,0.00166,0.794
Bingo Players,Get Up (Rattle) - Vocal Edit,FALSE,2013,1,0.0645,127.99,-2.632,0.186,0.508
Justin Bieber,Boyfriend,FALSE,2012,63,0.0519,96.979,-2.634,0.0841,0.393
5 Seconds of Summer,Easier,FALSE,2019,1,0.221,175.813,-2.652,0.11,0.656
Taylor Swift,I Knew You Were Trouble.,FALSE,2012,59,0.0363,77.019,-2.671,0.0884,0.427
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),FALSE,2013,69,0.057,100.163,-2.671,0.00952,0.824
Edward Maya,Stereo Love - Radio Edit,FALSE,2010,66,0.0322,127.041,-2.673,0.0951,0.605
Coldplay,Princess of China,FALSE,2011,66,0.0347,85.014,-2.686,0.00828,0.86
Ellie Goulding,Burn,FALSE,2014,70,0.0432,87.016,-2.69,0.0205,0.722
Tinie Tempah,Written in the Stars (feat. Eric Turner),FALSE,2010,57,0.0981,91.881,-2.718,0.0991,0.714
Black Eyed Peas,Don't Phunk With My Heart,FALSE,2005,62,0.061,130.889,-2.728,0.0294,0.722
Blue,All Rise,FALSE,2001,63,0.0324,97.996,-2.734,0.121,0.931
Ed Sheeran,Antisocial (with Travis Scott),FALSE,2019,63,0.0495,151.957,-2.749,0.191,0.671
Black Eyed Peas,Where Is The Love?,FALSE,2003,68,0.184,94.059,-2.752,0.255,0.777
Brian McFadden,Almost Here,FALSE,2004,42,0.0336,77.984,-2.76,0.00937,0.604
Jessica Simpson,Irresistible,FALSE,2001,43,0.0556,93.013,-2.771,0.0285,0.669
Britney Spears,Gimme More,FALSE,2007,79,0.0334,113.324,-2.771,3.82E-05,0.816
Kelly Clarkson,My Life Would Suck Without You,FALSE,2009,68,0.0509,144.982,-2.771,0.000441,0.682
Mary Mary,Shackles (Praise You),FALSE,2000,64,0.162,100.46,-2.773,0.0343,0.8
Foo Fighters,The Pretender,FALSE,2007,78,0.0431,172.984,-2.776,0.000418,0.713
Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",TRUE,2016,77,0.3,92.6,-2.787,0.199,0.465
Birdy,Wings,FALSE,2013,48,0.0253,83.235,-2.81,0.0495,0.398
Take That,Rule The World - Radio Edit,FALSE,2007,58,0.034,164.054,-2.82,0.00673,0.448
The Calling,Wherever You Will Go,FALSE,2001,72,0.0267,112.027,-2.827,0.00286,0.662
Gym Class Heroes,Ass Back Home (feat. Neon Hitch),TRUE,2011,61,0.0513,130.034,-2.842,0.000972,0.919
Marshmello,One Thing Right,FALSE,2019,73,0.045,88.042,-2.853,0.296,0.234
Zedd,I Want You To Know,FALSE,2015,0,0.0659,130.003,-2.86,0.141,0.789
Jonas Blue,Mama,FALSE,2017,51,0.0418,104.016,-2.862,0.0466,0.463
Billie Eilish,bad guy,FALSE,2019,83,0.375,135.128,-2.867,0.374,0.687
Alessia Cara,Here,FALSE,2015,0,0.163,120.892,-2.868,0.00359,0.56
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",TRUE,2011,77,0.137,95.078,-2.871,0.00417,0.749
OneRepublic,Love Runs Out,FALSE,2014,59,0.0589,120.022,-2.88,0.0197,0.572
Drake,Find Your Love,FALSE,2010,56,0.173,96.033,-2.881,0.021,0.73
Lil Nas X,Panini,FALSE,2019,71,0.0752,153.848,-2.881,0.0372,0.603
Black Eyed Peas,Don't Lie,FALSE,2005,61,0.186,89.885,-2.896,0.0724,0.79
Carly Rae Jepsen,Call Me Maybe,FALSE,2012,78,0.0408,120.021,-2.914,0.078,0.52
fun.,We Are Young (feat. Janelle Monáe),FALSE,2012,76,0.075,184.086,-2.915,0.0843,0.744
Example,Kickstarts,FALSE,2010,63,0.0573,126.056,-2.919,0.0287,0.743
3 Doors Down,Here Without You,FALSE,2002,74,0.0252,143.994,-2.92,0.00462,0.484
Rita Ora,How We Do (Party),TRUE,2012,48,0.0833,116.024,-2.932,0.00777,0.875
Missy Elliott,4 My People (feat. Eve),TRUE,2001,49,0.156,121.392,-2.942,0.263,0.748
Lady Gaga,Born This Way,FALSE,2011,72,0.161,123.907,-2.944,0.0191,0.748
Cobra Starship,You Make Me Feel... (feat. Sabi),FALSE,2011,70,0.0535,131.959,-2.948,0.0273,0.94
Adele,Rolling in the Deep,TRUE,2011,2,0.0298,104.948,-2.959,0.23,0.583
Christina Perri,Jar of Hearts,FALSE,2011,72,0.0316,74.541,-2.959,0.23,0.583
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,FALSE,2012,68,0.0374,127.946,-2.963,0.0662,0.573
Anuel AA,Secreto,FALSE,2019,75,0.126,91.987,-2.974,0.675,0.62
Kanye West,Jesus Walks,TRUE,2004,73,0.323,87.312,-2.983,0.0298,0.587
